Report 20200508221143

- 2020-05-03 23:00:00.0 -
Temperature:23.2695 | time: 2020-05-03 23:00:00.0
Temperature:22.5347 | time: 2020-05-03 22:00:00.0
Temperature:22.8117 | time: 2020-05-03 21:00:00.0
Temperature:24.2192 | time: 2020-05-03 20:00:00.0
Temperature:23.9604 | time: 2020-05-03 19:00:00.0
Temperature:23.827 | time: 2020-05-03 18:00:00.0
Temperature:23.4762 | time: 2020-05-03 17:00:00.0
Temperature:22.4549 | time: 2020-05-03 16:00:00.0
Temperature:24.6389 | time: 2020-05-03 15:00:00.0
Temperature:22.2433 | time: 2020-05-03 14:00:00.0
Temperature:24.7114 | time: 2020-05-03 13:00:00.0
Temperature:24.6315 | time: 2020-05-03 12:00:00.0
Temperature:24.9157 | time: 2020-05-03 11:00:00.0
Temperature:24.162 | time: 2020-05-03 10:00:00.0
Temperature:23.1935 | time: 2020-05-03 09:00:00.0
Temperature:22.909 | time: 2020-05-03 08:00:00.0
Temperature:24.2973 | time: 2020-05-03 07:00:00.0
Temperature:22.2136 | time: 2020-05-03 06:00:00.0
Temperature:23.658 | time: 2020-05-03 05:00:00.0
Temperature:23.1118 | time: 2020-05-03 04:00:00.0
Temperature:22.5617 | time: 2020-05-03 02:00:00.0
Temperature:23.1734 | time: 2020-05-03 01:00:00.0
Temperature:22.6842 | time: 2020-05-03 00:00:00.0

 - 2020-05-02 23:00:00.0 -
Temperature:23.0371 | time: 2020-05-02 23:00:00.0
Temperature:23.3545 | time: 2020-05-02 22:00:00.0
Temperature:23.9576 | time: 2020-05-02 21:00:00.0
Temperature:24.2201 | time: 2020-05-02 20:00:00.0
Temperature:24.9247 | time: 2020-05-02 19:00:00.0
Temperature:23.9206 | time: 2020-05-02 18:00:00.0
Temperature:24.6099 | time: 2020-05-02 17:00:00.0
Temperature:22.7577 | time: 2020-05-02 16:00:00.0
Temperature:22.2239 | time: 2020-05-02 15:00:00.0
Temperature:24.3788 | time: 2020-05-02 14:00:00.0
Temperature:23.1893 | time: 2020-05-02 13:00:00.0
Temperature:24.232 | time: 2020-05-02 12:00:00.0
Temperature:23.2436 | time: 2020-05-02 11:00:00.0
Temperature:22.3956 | time: 2020-05-02 10:00:00.0
Temperature:22.8485 | time: 2020-05-02 09:00:00.0
Temperature:23.1534 | time: 2020-05-02 08:00:00.0
Temperature:24.5372 | time: 2020-05-02 07:00:00.0
Temperature:23.8618 | time: 2020-05-02 06:00:00.0
Temperature:23.7236 | time: 2020-05-02 05:00:00.0
Temperature:23.7242 | time: 2020-05-02 04:00:00.0
Temperature:22.0327 | time: 2020-05-02 03:00:00.0
Temperature:24.2582 | time: 2020-05-02 02:00:00.0
Temperature:22.4979 | time: 2020-05-02 01:00:00.0
Temperature:24.2195 | time: 2020-05-02 00:00:00.0

 - 2020-05-01 23:00:00.0 -
Temperature:24.4808 | time: 2020-05-01 23:00:00.0
Temperature:24.4565 | time: 2020-05-01 22:00:00.0
Temperature:24.4879 | time: 2020-05-01 21:00:00.0
Temperature:23.5347 | time: 2020-05-01 20:00:00.0
Temperature:24.6207 | time: 2020-05-01 19:00:00.0
Temperature:22.6373 | time: 2020-05-01 18:00:00.0
Temperature:23.2528 | time: 2020-05-01 17:00:00.0
Temperature:23.358 | time: 2020-05-01 16:00:00.0
Temperature:22.0959 | time: 2020-05-01 15:00:00.0
Temperature:22.9205 | time: 2020-05-01 14:00:00.0
Temperature:23.5971 | time: 2020-05-01 13:00:00.0
Temperature:22.4396 | time: 2020-05-01 12:00:00.0
Temperature:23.0067 | time: 2020-05-01 11:00:00.0
Temperature:22.1791 | time: 2020-05-01 10:00:00.0
Temperature:22.426 | time: 2020-05-01 09:00:00.0
Temperature:22.92 | time: 2020-05-01 08:00:00.0
Temperature:22.0623 | time: 2020-05-01 07:00:00.0
Temperature:24.3538 | time: 2020-05-01 06:00:00.0
Temperature:24.222 | time: 2020-05-01 05:00:00.0
Temperature:23.6343 | time: 2020-05-01 04:00:00.0
Temperature:22.5831 | time: 2020-05-01 03:00:00.0
Temperature:23.4027 | time: 2020-05-01 02:00:00.0
Temperature:23.7337 | time: 2020-05-01 00:00:00.0

 - Average temperature across these dates: 23.448097 -
